"background size","chart color","description","Evidence codes","intersecting genes","intersection size","network.SUID","nodes.SUID","p-value","precision","query size","recall","source","term id","term name","term size"
"22097","","""A large multisubunit complex which catalyzes protein degradation, found in eukaryotes, archaea and some bacteria. In eukaryotes, this complex consists of the barrel shaped proteasome core complex and one or two associated proteins or complexes that act in regulating entry into or exit from the core."" [GOC:rb, Wikipedia:Proteasome]","""NAS""|""TAS""|""IMP""|""ISS""|""IBA""|""IEA""|""IDA""","PSMD4|UBXN1|E6|Psmb5|PIGF|PAK1|RNASE7|RPL17|TTC3|NOMO2|KDM2A|H2AC4|ATG9A|PSMD12|TAT|Arhgef15|CELA2B|RAD23B|MCM6","19","225133","225255|226755|225169|226239|226221|225163|226591|226595|226031|225991|226457|226409|225345|226255|225217|225491|226127|225771|225301","2.276651203089161E-22","0.10857142857142857","175","0.2835820895522388","Gene Ontology Cellular Component branch","GO:0000502","proteasome complex","67"
"22097","","""A protein complex which is capable of endopeptidase activity."" [GO_REF:0000088, GOC:bhm, GOC:TermGenie, PMID:1689240]","""IPI""|""NAS""|""TAS""|""IMP""|""ISS""|""IBA""|""IEA""|""IDA""","PSMD4|UBXN1|E6|Psmb5|PIGF|PAK1|RNASE7|RPL17|TTC3|NOMO2|KDM2A|H2AC4|ATG9A|PSMD12|YWHAE|TAT|Arhgef15|CELA2B|RAD23B|MCM6","20","225133","225255|226755|225169|226239|226221|225163|226591|226595|226031|225991|226457|226409|225345|226255|226095|225217|225491|226127|225771|225301","3.733540187725654E-21","0.11428571428571428","175","0.21978021978021978","Gene Ontology Cellular Component branch","GO:1905369","endopeptidase complex","91"
"22097","","""A protein complex which is capable of peptidase activity."" [GO_REF:0000088, GOC:bhm, GOC:TermGenie, PMID:1689240]","""IPI""|""NAS""|""TAS""|""IMP""|""ISS""|""IBA""|""IEA""|""IDA""","PSMD4|UBXN1|E6|Psmb5|PIGF|PAK1|RNASE7|RPL17|TTC3|NOMO2|KDM2A|H2AC4|ATG9A|PSMD12|YWHAE|TAT|Arhgef15|CELA2B|RAD23B|MCM6","20","225133","225255|226755|225169|226239|226221|225163|226591|226595|226031|225991|226457|226409|225345|226255|226095|225217|225491|226127|225771|225301","3.2530671570545926E-18","0.11428571428571428","175","0.16","Gene Ontology Cellular Component branch","GO:1905368","peptidase complex","125"
"10842","","G2/M Checkpoints","""REAC""","HERC2|PSMD4|LARS1|E6|TIMP2|PIGF|PAK1|RNASE7|NOMO2|KDM2A|H2AC4|ATG9A|MID2|DOK4|PSMD12|TMEM31|Rtkn|WDR4|SUMO3|TRIM65|TTC23L","21","225133","225507|225255|226491|225169|226685|226221|225163|226591|225991|226457|226409|225345|225683|226139|226255|226315|225211|226091|226019|226087|225819","6.589235876711965E-14","0.17073170731707318","123","0.12574850299401197","Reactome pathways","REAC:R-HSA-69481","G2/M Checkpoints","167"
"22097","","""The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes."" [GOC:hjd, GOC:jl]","""IPI""|""NAS""|""TAS""|""ISS""|""IBA""|""IEA""|""IDA""|""HDA""","EIF4A1|ECI2|CCP110|UBE2L3|HERC2|PSMD4|CCDC92|TANGO6|SMARCC2|RPL21|SCAMP1|FAM133A|MTAP|MARF1|LARS1|RPL29|CFTR|CGGBP1|KLK7|TP53BP2|PRELID3A|VASP|PARVA|RPS26|HAL|FAF2|E6|RAC1|Psmb5|RMI1|NSUN2|PAX5|HIST2H2BF|RHOA|TUBB2B|AFTPH|RARA|PIGF|CSTPP1|PAK1|RNASE7|b3kpl7_human|DISC1|CCT4|Psmd6|CA10|PSMC4|PSMC1|TTC3|EEF1AKMT3|UBE3C|PRAG1|KLHL38|JADE1|TEPSIN|CAPN3|POTEF|TMEM14B|NOMO2|KDM2A|H2AC4|ATG9A|MID2|DOK4|MAP7D1|MAP7D2|Ube3a|PSMD12|TMEM31|UBC|Rtkn|RHBDD2|IDH1|FUZ|PIP|TRPV5|UBE2N|TAT|WDR4|Arhgef15|SUMO3|CELA2B|PLAUR|RAD23A|RAD23B|H2BC12|Epha4|ACTBL2|CCDC74A|MCM6|USP14|ASAP3|Ephb2","93","225133","226399|226387|226361|225923|225507|225255|226123|226677|226295|226607|226015|226151|226519|225361|226491|226621|225895|225533|226463|225805|226235|226737|225995|226635|226435|226147|225169|225161|226239|226083|225511|225689|225955|225213|226699|226035|226011|226221|226039|225163|226591|225351|225971|226365|226267|226115|226247|226243|226031|226143|226715|226003|225357|225453|226307|225963|226555|225445|225991|226457|226409|225345|225683|226139|226503|226187|225945|226255|226315|225383|225211|225431|225403|226161|226549|226325|225927|225217|226091|225491|226019|226127|226225|225757|225771|226423|225941|226349|226119|225301|226727|225341|225489","2.3634973548185056E-13","0.5314285714285715","175","0.01694915254237288","Gene Ontology Cellular Component branch","GO:0005829","cytosol","5487"
"10842","","Cellular response to hypoxia","""REAC""","PSMD4|E6|PIGF|PAK1|RNASE7|CA10|PSMC1|NOMO2|KDM2A|H2AC4|ATG9A|MID2|DOK4|PSMD12|TRPV5","15","225133","225255|225169|226221|225163|226591|226115|226243|225991|226457|226409|225345|225683|226139|226255|226325","1.4999910133837905E-12","0.12195121951219512","123","0.2","Reactome pathways","REAC:R-HSA-1234174","Cellular response to hypoxia","75"
"21031","","""The chemical reactions and pathways resulting in the breakdown of a protein or peptide by hydrolysis of its peptide bonds, initiated by the covalent modification of the target protein."" [GOC:go_curators]","""NAS""|""TAS""|""IMP""|""ISS""|""IBA""|""IEA""|""IDA""","UBE2L3|HERC2|PSMD4|HAL|UBXN1|ZNF250|E6|Psmb5|TUBB2B|PIGF|PAK1|RNASE7|b3kpl7_human|RPL17|CA10|PSMC1|TTC3|NOMO2|KDM2A|H2AC4|ATG9A|MID2|DOK4|PSMD12|TMEM31|TAT|Arhgef15|CELA2B|RAD23B|ACTBL2","30","225133","225923|225507|225255|226435|226755|225867|225169|226239|226699|226221|225163|226591|225351|226595|226115|226243|226031|225991|226457|226409|225345|225683|226139|226255|226315|225217|225491|226127|225771|226349","2.8852849660158016E-12","0.17647058823529413","170","0.04926108374384237","Gene Ontology Biological Process","GO:0019941","modification-dependent protein catabolic process","609"
"21031","","""The chemical reactions and pathways resulting in the breakdown of a macromolecule, initiated by covalent modification of the target molecule."" [GOC:jl]","""NAS""|""TAS""|""IMP""|""ISS""|""IBA""|""IEA""|""IDA""","UBE2L3|HERC2|PSMD4|HAL|UBXN1|ZNF250|E6|Psmb5|TUBB2B|PIGF|PAK1|RNASE7|b3kpl7_human|RPL17|CA10|PSMC1|TTC3|NOMO2|KDM2A|H2AC4|ATG9A|MID2|DOK4|PSMD12|TMEM31|TAT|Arhgef15|CELA2B|RAD23B|ACTBL2","30","225133","225923|225507|225255|226435|226755|225867|225169|226239|226699|226221|225163|226591|225351|226595|226115|226243|226031|225991|226457|226409|225345|225683|226139|226255|226315|225217|225491|226127|225771|226349","4.650275358980178E-12","0.17647058823529413","170","0.04838709677419355","Gene Ontology Biological Process","GO:0043632","modification-dependent macromolecule catabolic process","620"
"10842","","Autodegradation of the E3 ubiquitin ligase COP1","""REAC""","PSMD4|LARS1|E6|PIGF|PAK1|RNASE7|NOMO2|KDM2A|H2AC4|ATG9A|MID2|DOK4|PSMD12","13","225133","225255|226491|225169|226221|225163|226591|225991|226457|226409|225345|225683|226139|226255","4.963701154564457E-12","0.10569105691056911","123","0.25","Reactome pathways","REAC:R-HSA-349425","Autodegradation of the E3 ubiquitin ligase COP1","52"
"10842","","Oxygen-dependent proline hydroxylation of Hypoxia-inducible Factor Alpha","""REAC""","PSMD4|E6|PIGF|PAK1|RNASE7|CA10|PSMC1|NOMO2|KDM2A|H2AC4|ATG9A|MID2|DOK4|PSMD12","14","225133","225255|225169|226221|225163|226591|226115|226243|225991|226457|226409|225345|225683|226139|226255","5.443219166053191E-12","0.11382113821138211","123","0.21212121212121213","Reactome pathways","REAC:R-HSA-1234176","Oxygen-dependent proline hydroxylation of Hypoxia-inducible Factor Alpha","66"
